,응답자,응답년도,코드북 일련번호,설문 문항,응답 내용
0,중1,2019,370070,고유 ID,28751
1,중1,2019,370086,시/도(학교 기준),서울
2,중1,2019,370103,도시규모(학교 기준),대도시
3,중1,2019,370106,시/도(거주지 기준),서울
4,중1,2019,370127,생년,2005
5,중1,2019,370129,성별,남자
6,중1,2019,370136,[수면의 질]-평일_수면의 질,못 자는 편이다
7,중1,2019,370145,[수면의 질]-주말_수면의 질,잘 자는 편이다
8,중1,2019,370167,[학습시간]-평일_학원 및 과외 시간,4시간 이상~
9,중1,2019,370174,[학습시간]-주말_학원 및 과외 시간,4시간 이상~
10,중1,2019,370177,[학습시간]-평일_인터넷 및 TV강의 시간,30분 ~ 1시간 미만
11,중1,2019,370184,[학습시간]-주말_인터넷 및 TV강의 시간,30분 ~ 1시간 미만
12,중1,2019,370193,[학습시간]-평일_방과 후 학교,2시간 ~ 3시간 미만
13,중1,2019,370201,[학습시간]-주말_방과 후 학교,3시간 ~ 4시간 미만
14,중1,2019,370209,[학습시간]-평일_스스로 공부하는 시간,4시간 이상~
15,중1,2019,370216,[학습시간]-주말_스스로 공부하는 시간,4시간 이상~
16,중1,2019,370221,[여가시간]-평일_독서 시간,2시간 ~ 3시간 미만
17,중1,2019,370228,[여가시간]-주말_독서 시간,2시간 ~ 3시간 미만
18,중1,2019,370235,[여가시간]-평일_운동 및 신체활동 시간,2시간 ~ 3시간 미만
19,중1,2019,370238,[여가시간]-주말_운동 및 신체활동 시간,전혀 안함
20,중1,2019,370245,[여가시간]-평일_스마트폰을 가지고 노는 시간,전혀 안함
21,중1,2019,370252,[여가시간]-주말_스마트폰을 가지고 노는 시간,전혀 안함
22,중1,2019,370261,[여가시간]-평일_컴퓨터를 가지고 노는 시간,30분 ~ 1시간 미만
23,중1,2019,370268,[여가시간]-주말_컴퓨터를 가지고 노는 시간,30분 ~ 1시간 미만
